,Timestamp,F_score,Accuracy,loss,batch_size,learning_rate,Training_DATASET,Continue_with_last_saved_model
0,05:23.2,0.066215749,0.079234326,337.5256,400,0.001,OPPORTUNITY - 18 classes,FALSE
1,05:47.0,0.448963621,0.421185074,336.46405,400,0.001,OPPORTUNITY - 18 classes,FALSE
2,06:11.1,0.570893991,0.695730724,335.6344,400,0.001,OPPORTUNITY - 18 classes,FALSE
3,06:34.7,0.010173579,0.026325411,337.83948,400,0.001,OPPORTUNITY - 18 classes,FALSE
4,06:58.7,0.579793468,0.651941069,333.78,400,0.001,OPPORTUNITY - 18 classes,FALSE
5,07:22.6,0.535334878,0.529798903,332.9941,400,0.001,OPPORTUNITY - 18 classes,FALSE
6,07:46.5,0.608833542,0.71297989,333.9353,400,0.001,OPPORTUNITY - 18 classes,FALSE
7,08:10.6,0.013854559,0.072459404,336.5106,400,0.001,OPPORTUNITY - 18 classes,FALSE
8,08:34.8,0.132427814,0.102720723,334.204,400,0.001,OPPORTUNITY - 18 classes,FALSE
9,08:59.2,0.01798742,0.055317776,337.02298,400,0.001,OPPORTUNITY - 18 classes,FALSE
10,09:23.5,0.479956212,0.483600387,329.14023,400,0.001,OPPORTUNITY - 18 classes,FALSE
11,09:47.6,0.488598959,0.445424239,330.02332,400,0.001,OPPORTUNITY - 18 classes,FALSE
12,10:11.7,0.554263051,0.609033229,329.05945,400,0.001,OPPORTUNITY - 18 classes,FALSE
13,10:36.1,0.05941318,0.091837832,332.5836,400,0.001,OPPORTUNITY - 18 classes,FALSE
14,11:00.2,0.181883286,0.174534896,330.84534,400,0.001,OPPORTUNITY - 18 classes,FALSE
15,11:24.5,0.472885759,0.437401871,330.11514,400,0.001,OPPORTUNITY - 18 classes,FALSE
16,11:48.6,0.434604732,0.387267448,326.5968,400,0.001,OPPORTUNITY - 18 classes,FALSE
17,12:12.8,0.452066736,0.405807076,325.03955,400,0.001,OPPORTUNITY - 18 classes,FALSE
18,12:37.1,0.590569874,0.63359501,326.5077,400,0.001,OPPORTUNITY - 18 classes,FALSE
19,13:01.3,0.505490769,0.459253683,318.67203,400,0.001,OPPORTUNITY - 18 classes,FALSE
20,13:25.8,0.624798157,0.629895688,320.20847,400,0.001,OPPORTUNITY - 18 classes,FALSE
21,13:50.0,0.3547907,0.307688999,325.90305,400,0.001,OPPORTUNITY - 18 classes,FALSE
22,14:14.3,0.627576948,0.651446392,320.6676,400,0.001,OPPORTUNITY - 18 classes,FALSE
23,14:38.8,0.446829732,0.399870954,318.56717,400,0.001,OPPORTUNITY - 18 classes,FALSE
24,15:03.1,0.619847885,0.654952145,321.50974,400,0.001,OPPORTUNITY - 18 classes,FALSE
25,15:27.5,0.482609636,0.438176148,313.71014,400,0.001,OPPORTUNITY - 18 classes,FALSE
26,15:51.9,0.669456405,0.708097645,315.7228,400,0.001,OPPORTUNITY - 18 classes,FALSE
27,16:16.3,0.096574599,0.142122809,318.8664,400,0.001,OPPORTUNITY - 18 classes,FALSE
28,16:40.8,0.330656117,0.295107001,320.14682,400,0.001,OPPORTUNITY - 18 classes,FALSE
29,17:05.1,0.618220295,0.634670395,319.9292,400,0.001,OPPORTUNITY - 18 classes,FALSE
30,17:29.5,0.488151692,0.439057963,311.45676,400,0.001,OPPORTUNITY - 18 classes,FALSE
31,17:53.8,0.663577249,0.67994408,312.2892,400,0.001,OPPORTUNITY - 18 classes,FALSE
32,18:18.0,0.216346595,0.225938273,311.55038,400,0.001,OPPORTUNITY - 18 classes,FALSE
33,18:42.2,0.515247202,0.467426605,312.13818,400,0.001,OPPORTUNITY - 18 classes,FALSE
34,19:06.5,0.521106657,0.455963007,315.9002,400,0.001,OPPORTUNITY - 18 classes,FALSE
35,19:30.8,0.581581981,0.551349607,310.23514,400,0.001,OPPORTUNITY - 18 classes,FALSE
36,19:54.9,0.508761466,0.44774707,311.5821,400,0.001,OPPORTUNITY - 18 classes,FALSE
37,20:19.3,0.542877617,0.476352296,309.7114,400,0.001,OPPORTUNITY - 18 classes,FALSE
38,20:43.6,0.638120378,0.633207872,305.5577,400,0.001,OPPORTUNITY - 18 classes,FALSE
39,21:08.2,0.368697604,0.318206259,305.97897,400,0.001,OPPORTUNITY - 18 classes,FALSE
0,2020-10-28 14:32:37.738751,0.6040103187106937,0.5676954511237767,302.69965,400,0.001,OPPORTUNITY - 18 classes,True
1,2020-10-28 14:33:02.820050,0.6164712035495451,0.5774814496182386,303.08786,400,0.001,OPPORTUNITY - 18 classes,True
2,2020-10-28 14:33:28.722411,0.49826502842123177,0.4550381761479729,302.60556,400,0.001,OPPORTUNITY - 18 classes,True
3,2020-10-28 14:33:54.244157,0.6847687350911886,0.6877943864931713,305.1028,400,0.001,OPPORTUNITY - 18 classes,True
4,2020-10-28 14:34:19.706597,0.30879189779464583,0.28957952468007314,305.36078,400,0.001,OPPORTUNITY - 18 classes,True
5,2020-10-28 14:34:45.276809,0.6003606325994607,0.5660393590708679,304.40195,400,0.001,OPPORTUNITY - 18 classes,True
6,2020-10-28 14:35:10.844173,0.6476160200781018,0.6164103667060974,298.5357,400,0.001,OPPORTUNITY - 18 classes,True
7,2020-10-28 14:35:36.391452,0.5626157487193826,0.522400258092268,299.7338,400,0.001,OPPORTUNITY - 18 classes,True
8,2020-10-28 14:36:02.620350,0.6933814777077234,0.697236261963652,302.38458,400,0.001,OPPORTUNITY - 18 classes,True
9,2020-10-28 14:36:27.820446,0.42647673529535696,0.3984084310140875,298.0961,400,0.001,OPPORTUNITY - 18 classes,True
10,2020-10-28 14:36:53.870026,0.6530228310920372,0.6361759328960104,297.24783,400,0.001,OPPORTUNITY - 18 classes,True
11,2020-10-28 14:37:19.242656,0.6438566528804923,0.5950317238412732,298.6494,400,0.001,OPPORTUNITY - 18 classes,True
12,2020-10-28 14:37:45.314950,0.6192560505578619,0.5947306161952898,299.47836,400,0.001,OPPORTUNITY - 18 classes,True
13,2020-10-28 14:38:11.231352,0.6248503717668055,0.582600279599957,297.8815,400,0.001,OPPORTUNITY - 18 classes,True
14,2020-10-28 14:38:37.277516,0.6203678335212223,0.6019787073878912,298.3869,400,0.001,OPPORTUNITY - 18 classes,True
15,2020-10-28 14:39:03.054399,0.5332653050301086,0.46088826755565115,303.31604,400,0.001,OPPORTUNITY - 18 classes,True
16,2020-10-28 14:39:28.773727,0.47103389389868744,0.42828261103344445,307.7471,400,0.001,OPPORTUNITY - 18 classes,True
