Epoch 1/20, Loss: 37.762501, F_score: 0.145394, Accuracy: 0.279740
Epoch 2/20, Loss: 37.075722, F_score: 0.157365, Accuracy: 0.293236
Epoch 3/20, Loss: 37.423168, F_score: 0.183953, Accuracy: 0.290070
Epoch 4/20, Loss: 37.719166, F_score: 0.121034, Accuracy: 0.252416
Epoch 5/20, Loss: 38.855862, F_score: 0.021364, Accuracy: 0.050428
Epoch 6/20, Loss: 37.623375, F_score: 0.173135, Accuracy: 0.226369
Epoch 7/20, Loss: 37.073788, F_score: 0.147624, Accuracy: 0.294402
Epoch 8/20, Loss: 36.642063, F_score: 0.177732, Accuracy: 0.315062
Epoch 9/20, Loss: 37.217022, F_score: 0.136961, Accuracy: 0.268633
Epoch 10/20, Loss: 37.050629, F_score: 0.157993, Accuracy: 0.298900
Epoch 11/20, Loss: 36.789635, F_score: 0.167393, Accuracy: 0.306898
Epoch 12/20, Loss: 37.270515, F_score: 0.209725, Accuracy: 0.286960
Epoch 13/20, Loss: 37.032845, F_score: 0.263505, Accuracy: 0.366322
Epoch 14/20, Loss: 36.800728, F_score: 0.194170, Accuracy: 0.310008
Epoch 15/20, Loss: 37.008820, F_score: 0.141706, Accuracy: 0.292014
Epoch 16/20, Loss: 36.799732, F_score: 0.164356, Accuracy: 0.300622
Epoch 17/20, Loss: 36.914410, F_score: 0.189265, Accuracy: 0.321726
Epoch 18/20, Loss: 37.128555, F_score: 0.176626, Accuracy: 0.289792
Epoch 19/20, Loss: 37.274479, F_score: 0.161318, Accuracy: 0.286071
Epoch 20/20, Loss: 37.059185, F_score: 0.199849, Accuracy: 0.304176
Epoch 1/200, Loss: 37.013947, F_score: 0.143484, Accuracy: 0.292014
Epoch 2/200, Loss: 36.474052, F_score: 0.223366, Accuracy: 0.340442
Epoch 3/200, Loss: 36.393990, F_score: 0.187631, Accuracy: 0.308841
Epoch 4/200, Loss: 37.728260, F_score: 0.149801, Accuracy: 0.275464
Epoch 5/200, Loss: 37.787045, F_score: 0.100627, Accuracy: 0.240031
Epoch 6/200, Loss: 36.854309, F_score: 0.173388, Accuracy: 0.300844
Epoch 7/200, Loss: 36.478298, F_score: 0.189203, Accuracy: 0.325780
Epoch 8/200, Loss: 36.744400, F_score: 0.175705, Accuracy: 0.298956
Epoch 9/200, Loss: 37.206112, F_score: 0.133871, Accuracy: 0.283739
Epoch 10/200, Loss: 37.007156, F_score: 0.160792, Accuracy: 0.297567
Epoch 11/200, Loss: 37.002308, F_score: 0.140432, Accuracy: 0.289292
Epoch 12/200, Loss: 36.878262, F_score: 0.147424, Accuracy: 0.291792
Epoch 13/200, Loss: 36.812115, F_score: 0.180967, Accuracy: 0.312007
Epoch 14/200, Loss: 37.003872, F_score: 0.152011, Accuracy: 0.291569
Epoch 15/200, Loss: 37.779560, F_score: 0.108956, Accuracy: 0.248473
Epoch 16/200, Loss: 37.121067, F_score: 0.158127, Accuracy: 0.297679
Epoch 17/200, Loss: 36.827625, F_score: 0.169082, Accuracy: 0.302288
Epoch 18/200, Loss: 36.609764, F_score: 0.192868, Accuracy: 0.328613
Epoch 19/200, Loss: 37.366749, F_score: 0.162668, Accuracy: 0.254138
Epoch 20/200, Loss: 37.273647, F_score: 0.173740, Accuracy: 0.306398
Epoch 21/200, Loss: 36.773102, F_score: 0.166579, Accuracy: 0.303288
Epoch 22/200, Loss: 37.378242, F_score: 0.230054, Accuracy: 0.313951
Epoch 23/200, Loss: 36.953743, F_score: 0.135652, Accuracy: 0.282906
Epoch 24/200, Loss: 36.724640, F_score: 0.238982, Accuracy: 0.348384
Epoch 25/200, Loss: 36.486134, F_score: 0.225136, Accuracy: 0.345052
Epoch 26/200, Loss: 36.198090, F_score: 0.233047, Accuracy: 0.348328
Epoch 27/200, Loss: 37.053078, F_score: 0.147873, Accuracy: 0.294291
Epoch 28/200, Loss: 37.609871, F_score: 0.172080, Accuracy: 0.299289
Epoch 29/200, Loss: 36.831287, F_score: 0.177503, Accuracy: 0.308953
Epoch 30/200, Loss: 36.504726, F_score: 0.178693, Accuracy: 0.319116
Epoch 31/200, Loss: 36.735893, F_score: 0.207413, Accuracy: 0.320449
Epoch 32/200, Loss: 37.521538, F_score: 0.143610, Accuracy: 0.272520
Epoch 33/200, Loss: 36.981152, F_score: 0.176064, Accuracy: 0.314784
Epoch 34/200, Loss: 37.259026, F_score: 0.141993, Accuracy: 0.282684
Epoch 35/200, Loss: 36.771622, F_score: 0.156393, Accuracy: 0.299789
Epoch 36/200, Loss: 36.406879, F_score: 0.232138, Accuracy: 0.352716
Epoch 37/200, Loss: 36.653183, F_score: 0.187611, Accuracy: 0.319171
Epoch 38/200, Loss: 37.462265, F_score: 0.116434, Accuracy: 0.248084
Epoch 39/200, Loss: 36.743954, F_score: 0.216427, Accuracy: 0.336055
Epoch 40/200, Loss: 36.091610, F_score: 0.274288, Accuracy: 0.378318
Epoch 41/200, Loss: 36.728333, F_score: 0.199382, Accuracy: 0.314506
Epoch 42/200, Loss: 37.452236, F_score: 0.138620, Accuracy: 0.282961
Epoch 43/200, Loss: 37.057510, F_score: 0.147513, Accuracy: 0.285016
Epoch 44/200, Loss: 36.925892, F_score: 0.155612, Accuracy: 0.296290
Epoch 45/200, Loss: 36.867439, F_score: 0.144009, Accuracy: 0.295901
Epoch 46/200, Loss: 36.716045, F_score: 0.181141, Accuracy: 0.311119
Epoch 47/200, Loss: 37.176102, F_score: 0.163736, Accuracy: 0.290570
Epoch 48/200, Loss: 36.577076, F_score: 0.190854, Accuracy: 0.320726
Epoch 49/200, Loss: 37.211826, F_score: 0.177425, Accuracy: 0.294346
Epoch 50/200, Loss: 37.149899, F_score: 0.141682, Accuracy: 0.284738
Epoch 51/200, Loss: 37.034237, F_score: 0.162542, Accuracy: 0.291514
Epoch 52/200, Loss: 37.011711, F_score: 0.199274, Accuracy: 0.325225
Epoch 53/200, Loss: 36.558758, F_score: 0.218479, Accuracy: 0.340053
Epoch 54/200, Loss: 36.308903, F_score: 0.232825, Accuracy: 0.351383
Epoch 55/200, Loss: 36.564007, F_score: 0.178673, Accuracy: 0.313340
Epoch 56/200, Loss: 36.126179, F_score: 0.310165, Accuracy: 0.404199
Epoch 57/200, Loss: 36.372681, F_score: 0.242656, Accuracy: 0.358269
Epoch 58/200, Loss: 36.485489, F_score: 0.235248, Accuracy: 0.345107
Epoch 59/200, Loss: 37.290699, F_score: 0.187953, Accuracy: 0.243752
Epoch 60/200, Loss: 36.685776, F_score: 0.186735, Accuracy: 0.308120
Epoch 61/200, Loss: 36.307430, F_score: 0.243838, Accuracy: 0.363545
Epoch 62/200, Loss: 36.132713, F_score: 0.236426, Accuracy: 0.341719
Epoch 63/200, Loss: 36.277927, F_score: 0.219512, Accuracy: 0.349883
Epoch 64/200, Loss: 36.464737, F_score: 0.248764, Accuracy: 0.366211
Epoch 65/200, Loss: 36.366730, F_score: 0.242403, Accuracy: 0.366211
Epoch 66/200, Loss: 36.325565, F_score: 0.230869, Accuracy: 0.347884
Epoch 67/200, Loss: 36.136028, F_score: 0.214383, Accuracy: 0.344052
Epoch 68/200, Loss: 35.877281, F_score: 0.258641, Accuracy: 0.362213
Epoch 69/200, Loss: 35.779594, F_score: 0.277909, Accuracy: 0.380484
Epoch 70/200, Loss: 36.264393, F_score: 0.228217, Accuracy: 0.308342
Epoch 71/200, Loss: 37.183884, F_score: 0.182364, Accuracy: 0.295735
Epoch 72/200, Loss: 36.270508, F_score: 0.273041, Accuracy: 0.379374
Epoch 73/200, Loss: 36.133560, F_score: 0.256246, Accuracy: 0.365434
Epoch 74/200, Loss: 35.970932, F_score: 0.261526, Accuracy: 0.375986
Epoch 75/200, Loss: 36.508900, F_score: 0.241744, Accuracy: 0.351772
Epoch 76/200, Loss: 35.901772, F_score: 0.261086, Accuracy: 0.372376
Epoch 77/200, Loss: 35.577812, F_score: 0.295742, Accuracy: 0.406087
Epoch 78/200, Loss: 35.310543, F_score: 0.298194, Accuracy: 0.410530
Epoch 79/200, Loss: 35.710072, F_score: 0.295254, Accuracy: 0.392369
Epoch 80/200, Loss: 36.748318, F_score: 0.229490, Accuracy: 0.332056
Epoch 81/200, Loss: 36.203323, F_score: 0.239677, Accuracy: 0.355937
Epoch 82/200, Loss: 35.964310, F_score: 0.255713, Accuracy: 0.363990
Epoch 83/200, Loss: 35.505428, F_score: 0.291829, Accuracy: 0.400478
Epoch 84/200, Loss: 35.633659, F_score: 0.273724, Accuracy: 0.372987
Epoch 85/200, Loss: 35.840889, F_score: 0.288906, Accuracy: 0.379540
Epoch 86/200, Loss: 36.152409, F_score: 0.254104, Accuracy: 0.349772
Epoch 87/200, Loss: 35.674644, F_score: 0.256592, Accuracy: 0.370987
Epoch 88/200, Loss: 35.512234, F_score: 0.254873, Accuracy: 0.371876
Epoch 89/200, Loss: 35.466011, F_score: 0.313618, Accuracy: 0.411696
Epoch 90/200, Loss: 35.837952, F_score: 0.255815, Accuracy: 0.364156
Epoch 91/200, Loss: 36.215797, F_score: 0.242343, Accuracy: 0.343719
Epoch 92/200, Loss: 36.330750, F_score: 0.223336, Accuracy: 0.354548
Epoch 93/200, Loss: 35.883602, F_score: 0.288077, Accuracy: 0.398034
Epoch 94/200, Loss: 35.655163, F_score: 0.296378, Accuracy: 0.405754
Epoch 95/200, Loss: 36.285538, F_score: 0.255638, Accuracy: 0.356714
Epoch 96/200, Loss: 36.080532, F_score: 0.237180, Accuracy: 0.280518
Epoch 97/200, Loss: 35.842106, F_score: 0.298571, Accuracy: 0.407531
Epoch 98/200, Loss: 35.587910, F_score: 0.269102, Accuracy: 0.378318
Epoch 99/200, Loss: 35.314503, F_score: 0.288778, Accuracy: 0.392314
Epoch 100/200, Loss: 35.540413, F_score: 0.267686, Accuracy: 0.376597
Epoch 101/200, Loss: 35.434052, F_score: 0.292119, Accuracy: 0.392536
Epoch 102/200, Loss: 36.497162, F_score: 0.218171, Accuracy: 0.331501
Epoch 103/200, Loss: 36.107548, F_score: 0.245349, Accuracy: 0.357659
Epoch 104/200, Loss: 35.788292, F_score: 0.259542, Accuracy: 0.372320
Epoch 105/200, Loss: 35.441525, F_score: 0.333071, Accuracy: 0.420027
Epoch 106/200, Loss: 36.433392, F_score: 0.238707, Accuracy: 0.337221
Epoch 107/200, Loss: 35.625835, F_score: 0.296285, Accuracy: 0.403810
