,0
0,-0.015145518
1,0.19533832
2,-0.1414968
3,-0.005172894
4,0.39659527
5,0.060971033
6,0.33757606
7,-0.21702324
8,0.14908001
9,0.35142332
10,-0.09556545
11,0.061966002
12,-0.25261903
13,-0.15224443
14,0.29298246
15,-0.28983206
16,-0.35516876
17,-0.26518065
18,-0.13246666
19,-0.330217
20,0.3143171
21,0.25641376
22,0.00019218857
23,-0.21820016
24,-0.12064945
25,-0.26301745
26,-0.2825804
27,0.32217902
28,-0.27807882
29,-0.16020057
30,-0.1035164
31,0.050850376
32,0.37518004
33,-0.15079094
34,0.115183756
35,-0.054888867
36,-0.013793352
37,0.04493178
38,0.09171144
39,-0.088980764
40,0.16884993
41,0.03590264
42,0.20736709
43,0.11920171
44,0.10833673
45,0.36009812
46,-0.09184782
47,0.016086573
48,-0.080010794
49,-0.396348
50,-0.30931243
51,-0.3812635
52,-0.17070489
53,-0.0025927036
54,0.19767836
55,-0.12430323
56,0.3984932
57,0.18389049
58,-0.29095823
59,-0.13264686
60,0.08170073
61,-0.19498342
62,0.16572347
63,0.024694761
64,0.3747054
65,0.14847916
66,0.3372224
67,-0.18300188
68,0.063045
69,-0.2615343
70,-0.06677785
71,-0.2642965
72,0.038266838
73,0.21864983
74,0.37343597
75,0.08302331
76,-0.35467702
77,0.04614451
78,-0.30704144
79,0.2923431
80,-0.02694968
81,0.28695765
82,0.39650646
83,-0.39916062
84,0.17143278
85,-0.05454761
86,-0.23226792
87,-0.027231958
88,-0.056025855
89,-0.35537127
90,0.04227686
91,-0.34193525
92,0.08349135
93,-0.062492166
94,-0.21052548
95,0.08906485
96,0.31051895
97,-0.34751183
98,-0.08988734
99,-0.08061078
100,-0.031226909
101,0.031600904
102,-0.20845166
103,0.33701846
104,0.1807117
105,0.3105438
106,-0.1707254
107,-0.21100773
108,0.057749882
109,0.03530582
110,-0.061828215
111,-0.06175703
112,0.12739949
113,0.2692047
114,-0.035783358
115,0.13488398
116,0.1315405
117,0.23732339
118,0.25693214
119,-0.14841487
120,0.031237511
121,-0.11206791
122,-0.17145689
123,0.21518172
124,0.017252503
125,-0.052535612
126,0.064755045
127,-0.21301402
