,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,5
65,5
66,5
67,5
68,6
69,6
70,6
71,0
72,0
73,0
74,0
75,7
76,7
77,7
78,7
79,8
80,8
81,8
82,8
83,8
84,0
85,0
86,9
87,9
88,9
89,10
90,10
91,10
92,11
93,11
94,11
95,12
96,12
97,12
98,13
99,13
100,13
101,0
102,14
103,14
104,14
105,0
106,0
107,0
108,0
109,3
110,3
111,3
112,3
113,3
114,0
115,0
116,0
117,1
118,1
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,4
127,4
128,4
129,4
130,0
131,2
132,2
133,2
134,2
135,0
136,0
137,0
138,0
139,0
140,17
141,17
142,17
143,0
144,0
145,0
146,0
147,0
148,15
149,15
150,15
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,16
159,16
160,16
161,16
162,16
163,16
164,16
165,0
166,0
167,0
168,0
169,16
170,16
171,16
172,16
173,16
174,16
175,0
176,0
177,0
178,0
179,5
180,5
181,5
182,0
183,6
184,6
185,6
186,0
187,7
188,7
189,7
190,0
191,8
192,8
193,8
194,0
195,9
196,9
197,9
198,10
199,10
200,10
201,11
202,11
203,0
204,12
205,12
206,13
207,13
208,13
209,14
210,14
211,14
212,14
213,0
214,0
215,0
216,0
217,0
218,3
219,3
220,3
221,3
222,3
223,1
224,1
225,1
226,1
227,0
228,0
229,0
230,0
231,4
232,4
233,4
234,4
235,0
236,2
237,2
238,2
239,2
240,0
241,0
242,0
243,0
244,0
245,17
246,0
247,17
248,0
249,0
250,0
251,15
252,15
253,15
254,0
255,0
256,16
257,16
258,16
259,16
260,16
261,16
262,0
263,0
264,0
265,0
266,16
267,16
268,16
269,16
270,16
271,16
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,5
281,5
282,5
283,6
284,6
285,6
286,0
287,7
288,7
289,7
290,7
291,8
292,8
293,8
294,8
295,8
296,0
297,9
298,9
299,9
300,10
301,10
302,10
303,11
304,11
305,11
306,12
307,12
308,13
309,13
310,13
311,13
312,14
313,14
314,14
315,0
316,0
317,0
318,0
319,3
320,3
321,3
322,3
323,0
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,4
332,4
333,4
334,4
335,2
336,2
337,2
338,2
339,2
340,0
341,0
342,0
343,0
344,0
345,17
346,0
347,17
348,0
349,0
350,0
351,0
352,15
353,15
354,15
355,15
356,0
357,0
358,16
359,16
360,16
361,16
362,16
363,16
364,16
365,16
366,16
367,0
368,0
369,0
370,0
371,16
372,16
373,16
374,16
375,16
376,16
377,16
378,16
379,16
380,0
381,0
382,0
383,0
384,0
385,5
386,5
387,5
388,6
389,6
390,6
391,0
392,0
393,7
394,7
395,7
396,7
397,8
398,8
399,8
400,8
401,0
402,0
403,9
404,9
405,0
406,10
407,10
408,11
409,11
410,11
411,12
412,12
413,13
414,13
415,13
416,0
417,14
418,14
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,3
473,3
474,3
475,3
476,0
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,4
485,4
486,4
487,4
488,4
489,2
490,2
491,2
492,2
493,0
494,0
495,0
496,0
497,17
498,17
499,17
500,17
501,0
502,0
503,0
504,0
505,0
506,15
507,15
508,15
509,15
510,0
511,0
512,16
513,16
514,16
515,16
516,16
517,16
518,16
519,16
520,0
521,0
522,0
523,0
524,0
525,16
526,16
527,16
528,16
529,16
530,16
531,16
532,16
